gbjdsxwxpl,A.baumannii
fbfefmqang,A.baumannii
ayobwsasun,A.baumannii
gmchqvkthk,A.baumannii
pqzclfanco,A.baumannii
psrjvfadvk,A.odontolyticus
lezwewprab,A.odontolyticus
xjyacugeqt,B.cereus
bwrbnsnpoq,B.cereus
cvxomdbmdu,B.cereus
zxxnhysxif,B.cereus
timcmdagfx,B.cereus
wgvyghdnhe,B.cereus
oerzcuqmzs,B.cereus
bhbhhlqpcl,B.cereus
sjdlofhguq,B.cereus
xxdlvocnwd,B.cereus
pspgueidyy,B.cereus
vqjhqzxuhi,B.cereus
ddkijoktxs,B.vulgatus
efepmwlixw,B.vulgatus
qrjbsldhbm,B.vulgatus
mcwdfnmykq,B.vulgatus
gxspvdbqiy,B.vulgatus
aogyktmtiy,B.vulgatus
cvdblkbjcq,B.vulgatus
anpdvemkkp,C.beijerinckii
gwvzgjusfb,C.beijerinckii
flaewiwwcl,C.beijerinckii
gfxhwzuqsf,C.beijerinckii
eliybgrdbq,C.beijerinckii
kidofnpgai,C.beijerinckii
zcsistxfvu,C.beijerinckii
ikbywvtmqx,C.beijerinckii
fvucpqytgm,C.beijerinckii
njemjhdzwh,C.beijerinckii
xjdbkerwof,C.beijerinckii
mkhbsanlpx,C.beijerinckii
kdbaocrtdb,C.beijerinckii
xlkttolmba,C.beijerinckii
mjvsmfsrcu,D.radiodurans
xpvrnrkril,D.radiodurans
isqdgclybn,D.radiodurans
qibnsnobwa,E.faecalis
ypmwbbgogu,E.faecalis
dbgxtntixt,E.faecalis
ypmrvdynkc,E.faecalis
hqbalfgllu,E.coli
fztgmlmsks,E.coli
ponanxjbkv,E.coli
nnsglqjqvp,E.coli
jqmljfdecw,E.coli
yvbaehrmyg,E.coli
klklgxcjfg,E.coli
cmllnajlul,H.pylori
jmcggmeabm,H.pylori
fveprsvupu,L.gasseri
gimgtvvwig,L.gasseri
jinsnirdxa,L.gasseri
tkwuymdezf,L.gasseri
ftizvboxxk,L.gasseri
qiuifddwol,L.gasseri
mubbtumcwc,L.monocytogenes
pdpwcmbwdk,L.monocytogenes
guvilmffxh,L.monocytogenes
srjswzducc,L.monocytogenes
yvfjoedcrv,L.monocytogenes
whhwknweza,L.monocytogenes
xrckfzjdru,N.meningitidis
bkhhcmtrgw,N.meningitidis
rqrbomxfxo,N.meningitidis
wmxnlvhjdu,N.meningitidis
uqfrtkrnvk,P.acnes
zbawtjphfs,P.acnes
tbnudkgaho,P.acnes
lceyxwwyro,P.aeruginosa
hzertykred,P.aeruginosa
txqglauzhk,P.aeruginosa
mftkkmpayy,P.aeruginosa
qzqtsgbgxc,P.gingivalis
bdeqbuduvm,P.gingivalis
clizelpjjy,P.gingivalis
xoaczzuhuy,P.gingivalis
srvzewrnnf,R.sphaeroides
tuhuryqgni,R.sphaeroides
imweztpwnq,R.sphaeroides
yyqrtkthtk,R.sphaeroides
tueymewrwt,R.sphaeroides
gapejjzibb,R.sphaeroides
mwtlwlcwii,S.aureus
iwxcvlyyqf,S.aureus
upkwekeiiv,S.aureus
ksfqukpytg,S.aureus
cqgrwodcie,S.aureus
nfczpeqadr,S.epidermidis
odmednajhq,S.epidermidis
dzrgobnqis,S.epidermidis
silpnuhzxu,S.epidermidis
ekjfkprgxh,S.epidermidis
palcxoqkgo,S.agalactiae
sqskqraqji,S.agalactiae
esflhgskio,S.agalactiae
xgoszuxwkk,S.agalactiae
nesbtmoitf,S.agalactiae
mekurrkrjx,S.agalactiae
bkxyatmglf,S.agalactiae
fmoprmqyyx,S.mutans
ydeklvqwei,S.mutans
vnixormmjb,S.mutans
pavhhhlyxf,S.mutans
ylgbwcghcl,S.mutans
cdvlndmpoz,S.pneumoniae
qhkawnpbst,S.pneumoniae
isjwbbjbzi,S.pneumoniae
vnmapsefnf,S.pneumoniae
